公司名称,职位名称,职位标签,部门,公司简介,公司行业,公司性质,融资阶段,公司规模,公司主页,工作地点,薪资,职位诱惑,工作性质,经验,学历,职位简介,发布日期,来源网站
中国大百科全书出版社,数据分析工程师,NULL,NULL,NULL,文化/艺术/出版,国企,NULL,101－300人,NULL,北京 西城区,面议,"['五险一金', '带薪年假', '带薪病假']",全职,经验2年,硕士,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1. 负责百科数据分析平台的设计、开发工作；', '2. 负责各种网络日志的采集、清洗、海量数据挖掘等工作；', '3. 负责百科数据平台数据分析、用户行为分析、设计算法模型等工作。', '任职资格：', '1. 硕士及以上学历，统计学、数学、计算科学与技术等相关专业，有丰富的相关工作经验者可放宽学历要求；', '2. 对数学以及算法有一定的研究，熟悉数据挖掘相关算法；', '3. 有搜索技术、网络爬虫或数据挖掘经验者优先；', '4. 善于学习新的知识，动手能力强，有进取心，具有良好的团队合作精神和高度的责任心。', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
上海东藏文化传播有限公司,数据分析,NULL,NULL,NULL,奢侈品/收藏品,合资,NULL,500人以上,NULL,上海 徐汇区,5000-8000,"['年终奖', '绩效奖金', '带薪年假', '差旅补贴', '员工培训', '员工旅游', '节日福利', '优秀人才多', '晋升空间大', '豪华团建', '领导易相处', '项目奖金', '办公室漂亮', '工作内容有趣', '办公装备高档', '更多']",全职,经验1年,大专,"['职位介绍', '年龄：20-32岁', '|', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1.建立业务特征的指标体系和相应的数据监测体系，撰写数据分析报告，为管理层和产品推广和销售策略提供有质量的数据支持', '2.支持各业务部门的数据需求，制定数据规范、建立分析模型，优化部门工作开展.', '3.对客户信息，客户习惯，销售数据，产品数据，活动效果的数据分析，从海量数据中发现价值，为公司运营决策、产品优化提供数据支持', '4.负责跟踪发现数据问题并多维度分析定位问题', '岗位要求：', '1.大学数学、统计学、计算机等相关专业本科或以上学历，1年以上数据分析或数据挖掘相关工作经验', '2.精通Mysql/SqlServer，对主流数据库有一定了解,能独立承担数据模型设计、存储规划', '3.精通office系列软件，能独立完成图表图像以及文字处理，完成数据分析报告', '4.熟练运用Ｒ、ＳＰＳＳ、ＳＡＳ等统计软件', '5.对数字/数据敏感，善于发现、获取客户需求，并转化为项目需求', '6.有JAVA相关开发经验者，电商从业经验者优先。', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
北京易商通科技股份有限公司,数据分析,NULL,NULL,NULL,移动互联网,其他,NULL,101－300人,NULL,重庆,3000-5000,"['五险一金', '绩效奖金', '节日福利']",全职,经验1年,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', ' 1、大学专科以上学历；', ' 2、数学、统计、信息安全、计算机类专业；', ' 3、具备突出的数学分析思维、逻辑思维、结构化思维；', ' 4、具有一定的信息安全或计算机网络知识；', ' 5、口头表达清晰流畅；书面表达结构合理、条理清晰、文笔流畅；', ' 6、学习能力强，勤于思考；', ' 7、自信、主动、坚韧、团队合作性高。', '查看更多']",2017/2/16,中华英才网
,,,,,,,,,,,,,,,,,,
深圳市科安数字有限公司,数据分析师,NULL,NULL,NULL,电子商务,民营/私企,NULL,101－300人,NULL,深圳 龙岗区,5000-8000,"['年终奖', '绩效奖金', '带薪年假', '五险一金', '商业保险', '员工培训', '工作内容有趣', '办公室漂亮', '帅哥美女多', '领导易相处', '晋升空间大', '豪华团建', '办公装备高档', '更多']",全职,经验应届生,本科,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '1、整合销售数据、库存数据、供应商交期产能数据，对数据进行深度挖掘，编制分析报告并提供至相关部门；', '2、在部门负责人的指导下，构思数据分析方法及分析模板，深层分析销售数据所反映的问题，并从采购计划端提出解决对策；', '3、根据库存情况、需求异常变更、供应异常等情况及时调控订单及配货计划；', '4、负责上级领导安排的数据处理等相关事宜。', '任职要求：', '1、电商公司1年以上计划数据分析经验优先；', '2、数学、数据统计专业研究生优先；', '3、对数据反应敏锐，具有较强的数据分析、数据运算能力；', '4、具有良好的学习能力，主动性强，工作严谨，有责任感，具有较强抗压能力及一定沟通能力；', '5、具有较强的逻辑思维能力、购销协同意识及运营成本分析意识。', '公司福利：', '1、人性化管理/工作时间：大小周责任制(周一至周五：7.5小时/天，周六5小时；正常综合工作时间为160小时/月）；', '2、为员工购买社保及公积金；', '3、每天发放下午茶；', '4、加班员工给予加班餐费补贴；', '5、公司定期组织户外活动、公司及部门聚餐、不定期组织旅游活动；', '6、服务满一年，可享受带薪年假及国家各项有薪假期、福利假期；', '7、本年度转正员工均发放年终奖金；', '8、优秀员工参与激励政策，配备公司股份；', '9、公司设有年度调薪以及优秀员工的半年度调薪制度。', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
成都主导科技有限责任公司,数据分析,NULL,NULL,NULL,机械/重工,民营/私企,NULL,500人以上,NULL,成都 青羊,3000-4000,"['员工培训', '免费班车']",实习,经验1年,大专,"['职位介绍', '性别：不限', '|', '驾照：不要求', '岗位职责:', '任职要求：', '1、大专以上学历，理工科专业；', '2、熟悉掌握office办公软件；', '3、学习能力强，工作稳定性强，责任心强，沟通及表达能力强；', '查看更多']",2017/3/21,中华英才网
,,,,,,,,,,,,,,,,,,
