"company_address","company_finance","company_industry","company_name","company_size","company_type","department","name","pay","publish_time","report_to","required_major","requirement","responsibility","subordinates_num","url"
"北京市东城区藏经馆胡同11号B201","A轮","社交/社区/媒体","在直播","1-49人","私营·民营企业","技术大组","Kotlin工程师","18-36万","11分钟前","无","不限","本科及以上","职位诱惑：超多团建+期权奖金 免费午餐此职位为Kotlin工程师岗位职责：1.重点负责公司Android产品研发； 2.优化和迭代已有产品软件的模块结构和流程逻辑； 3.跟进Android的新技术发展，对新技术进行学习、研究和应用； 4.参与产品的设计和改进。任职资格：1.两年以上Android平台开发经验； 2.熟练掌握java技术，熟悉面向对象编程设计，具备扎实的编程基础； 3.熟悉Android应用开发框架及Activity生命周期、熟悉Android UI/Framework开发，熟练使用Android SDK、熟练使用SQLite数据库； 4.熟悉Android各种widget组件，能根据项目要求开发自定义控件； 5.熟悉Android下网络通信机制，对Socket通信、TCPIP、http和Xmpp有一定理解和经验； 6.工作积极主动，有较强责任感和严谨工作作风； 7. 能快速学习使用新技术，有创造性思维能力。福利看过来：业内最具竞争力薪酬：薪酬依据能力而定，不封顶不设限，保证您的家庭生活需要！还有大把期权等你拿哦！关注着您的发展：充满大牛的团队，技术氛围浓厚的环境，丰厚的国外一线技术资源。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197886027.shtml"
"徐东大街45号中铁科技大厦2楼",,"教育/培训/学术/科研/院校","湖北华商智联教育科技股份有限公司","100-499人","私营·民营企业","政府与渠道发展中心","渠道经理","7-12万","10分钟前","无","不限","本科及以上","渠道经理岗位职责：1、依据公司整体战略和总体目标，协助总监建立所属区域的渠道销售战略，扩大公司的知名度； 2、负责渠道的运营和销售管理，组建基础团队，制定公司销售计划、费用预算、风险控制；3、完成月度、季度和年度销售计划，定期汇报工作情况；4、深入了解培训行业，把握最新销售信息和市场动态，为企业提供业务培训执行方案；5、完成总监布置的工作任职要求：1、对于教育培训行业拥有一定的经验，一年以上渠道工作经验。2、具备优秀的统筹规划与实操能力，沟通协调能力，团队建设与管理能力；3、熟悉湖北、湖南、河南的培训行业市场。4、具备较强的创新精神和开拓能力，具备较强的管理和沟通能力。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197534642.shtml"
"科技中一路7号",,"制药/生物工程","深圳市华生元基因工程发展有限公司","50-99人","外商独资·外企办事处","财务部","总经理助理","6-10万","8分钟前","无","不限","本科及以上","工作主要内容与职责：1. 协助总经理日常工作中文件的起草及英文文件的往来处理；2. 安排各类会议，行程及资料的整理；3. 协助总经理日常事务的管理﹑跟踪与集团及各子公司领导间的往来安排；4. 其他领导安排之事物；任职要求：1. 秘书及管理类专业本科学历；2. 一年以上总经理助理经验，有生物制药行业经验者优先考虑；3. 英文听、说﹑读﹑写熟练；4. 知识结构全面，懂法律、财务等知识；5. 外联公关能力佳，公文写作能力优秀；\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197731562.shtml"
"河北省保定市高碑店市东方路66号",,"房地产服务(物业管理/地产经...","河北隆泰物业服务有限责任公司","1000-2000人","私营·民营企业","财务管理中心","融资财务总监","36-60万","37分钟前","副总经理","不限","大专及以上","1.根据物业公司发展战略和业务进展情况，制定融资财务发展规划和发展策略；2.全面负责物业公司融资财务管理工作，编制财务系统的业务规划，拟定实施方案并监督计划落实；3.全面统筹协调物业公司财务体系管理，进行财务日常管理、税收筹划、投融资管理及财务团队的建设；4.参与公司重大决策，就融资财务方面的问题提供支持和意见，保证公司发展、运营的合法性和利润。任职资格：1.金融、会计、财务等相关专业本科以上学历，具有高级会计师或注册会计师资格。                                                             2.35-45周岁，3年以上大型集团公司同岗位工作经验，熟悉税法政策、营运分析、成本控制及成本核算。3.具有良好的领导、沟通、协调能力，全局观念强，善于培养人才。\r\n\t\t\t\t\t\t","90人","https://www.liepin.com/job/197241230.shtml"
"北京市朝阳区大郊亭中街2号院华腾国际3号楼9A ",,"房地产开发/建筑/建材/工程","阜达宏安系统工程","1-49人","私营·民营企业","经营管理部","前台","4-6万","30分钟前","无","不限","大专及以上","岗位职责： 1、负责电话转接、以及公司来访客户得日常接待工作； 2、负责快递的收发工作； 3、负责办公用品采购和发放，不定期检查用品库存，及时做好后勤保障工作； 4、负责新员工、离职人员的手续办理； 5、负责员工月考勤的统计； 6、上级交办的其他工作。 任职资格： 1、熟练使用电脑办公软件； 2、普通话标准，懂得基本的前台接待礼仪并有良好的服务意识； 3、亲和力佳，办事细心、领悟能力强； 4、有消防或建筑行业相关工作经验优先考虑；5、请附近期免冠照片。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197730460.shtml"
"广州白云区良田镇坑边路182号",,"石油/石化/化工","东硕","500-999人","国内上市公司","生产工厂","仓库主管","8-10万","刚刚","无","不限","中技及以上","1、5年化工类工厂工作经验，2年以上仓库主管工作经验2、熟悉化工工艺流程、仓库管理知识3、具备较强的逻辑思维能力，组织协调沟通能力\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197996976.shtml"
"北京市通州区宋庄镇草寺村临3号 电子工业园",,"仪器/仪表/工业自动化/电气","量拓科技","1-49人","私营·民营企业","技术部","光学研发工程师","5-11万","9分钟前","无","光学工程、光电工程、精密仪器及相关专业","统招本科","A.光学工程、光电工程、精密仪器及相关专业硕士以上学历，特别优异的本科生亦可B.具有独立的思考能力C.具有独立解决问题的能力，能从面临的科学或技术问题本身出发提出不同的解决方案并能用实验验证D.具有良好的学习习惯和能力E.具有良好的人际沟通能力和良好的逆商F.具有扎实的专业理论基础，并了解其应用G.经历过系统的光学仪器设计训练，并有成功的设计经验H.了解椭偏仪者优先\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/194955990.shtml"
"中山市石岐区湖滨北路40号（金钻酒店后）",,"百货/批发/零售","太力集团","1000-2000人","私营·民营企业","市场部","产品策划经理","12-14万","刚刚","无","不限","学历不限","岗位职责：1、根据集团年度产品规划，推进产品开发工作的有效开展和目标达成；2、分析潜在市场及消费者需求，搭建新兴品类的产品线平台，推进新兴品类前期的调研、产品线企划、产品功能配置报告；3、协助问题销售部门，推进并协助未来季度/半年度品类的产品线及产品功能的产品企划报告；4、协助和监督完善新品立项资料，确保立项产品符合公司及对应事业部的市场发展需求和保证产品上市成功；5、产品全生命周期管理 上市和下架管理规则及考核；6、建立完善产品策划管理规范及考核制度体系，有效监督并推进提高产品策划成功率、产品上市及时率、单品贡献率、品类贡献率。任职资格：1、本科或以上学历； 2、3年以上产品策划工作；3、了解销售的流程，对终端管理、零售周期有一定的了解4、宏观和逻辑分析能力强，有全局观，具备严谨的工作态度5、具备较强的沟通能力和写作能力，良好的职业素养，较强的沟通表达能力和学习能力\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/194579222.shtml"
"北京市朝阳区酒仙桥路10号恒通商务园B36号C座2层",,"互联网/移动互联网/电子商务","北京蓝色光标电子商务股份有限公司","500-999人","私营·民营企业","蓝标电商人力行政部","企业文化高级专员（员工活动方向）","7-10万","刚刚","企业文化经理","不限","本科及以上","岗位职责：1、配合上级完成公司企业文化建设与推广；2、负责策划制定企业文化各类活动方案并组织实施；3、配合上级完成企业文化渠道的拓展与创新，营造更好的文化氛围等；4、负责公司宣传平台的形象管理，如微信企业号、企业文化期刊的维护与更新；5、负责与集团对接，完成与公司项目组的对接与管理；6、领导交办的其它事务。任职要求：1、中文、新闻、广告、艺术设计等相关专业本科以上学历；2、二年以上品牌推广、企业宣传、文案策划、媒体编辑、VI设计等工作经验；3、精通Photoshop/Dreameaver/Illustrator等设计软件，良好的创意思维和更能力；4、熟悉网络推广、品牌策划、活动策划的方法与流程；5、具有强烈的责任心，热情主动、积极乐观。有较好的文字功底，良好的沟通表达力，思维开阔且有具有创新意识。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197986931.shtml"
"北京市朝阳区高碑店大黄庄35号铭基国际创意公园K01",,"影视/媒体/艺术/文化/出版","北京关八信息科技有限公司","50-99人","私营·民营企业","商务部","商务经理","10-24万","刚刚","商务总监","不限","本科及以上","1、有数字营销广告销售经验；2、积累了一定量级的客户资源；3、具备商务谈判技巧，沟通力强；4、了解媒体商务合作模式；5、执行力强，自我管理意识强；6、该岗位有销售任务压力，有时限目标淘汰机制；7、在媒体行业或4A广告公司有相关销售经验者优先。\r\n\t\t\t\t\t\t","0人","https://www.liepin.com/job/197761063.shtml"
